日付,アカウント名,Twitter Id,Text,TweetURL
2022/08/05 05:22:54,@istanscouts,BakBaktV⁷OOO AAAA💃,@yoongisgunner @krbangtan Plss i love this😭😭😭We are all extra,https://twitter.com/istanscouts/status/1555424083101175808
2022/08/05 05:22:53,@ooppsiiees,derirura red hair era,@monoocchromee aaaa maaciiii🥺🥺,https://twitter.com/ooppsiiees/status/1555424080286797824
2022/08/05 05:22:50,@hazelnutthings,ala,@Lmingyukim @moonareas AAAA DIKAA AVOCADO 🙈,https://twitter.com/hazelnutthings/status/1555424067796099073
2022/08/05 05:22:43,@strestpkiyowo,a✨,help infoin kos unnes yg masi kosong dong ya allah aaaa:(((((((,https://twitter.com/strestpkiyowo/status/1555424035835498496
2022/08/05 05:22:36,@diegozvd,diego RENASCEU,"cada dia um vício diferente no renaissance, beyoncé oq vc fez aaaa https://t.co/DiHEN9KKIU",https://twitter.com/diegozvd/status/1555424006475489280
2022/08/05 05:22:32,@aiuaiiuiuayu,aim🐰|| doyoungie nuna,@treasuremembers Aaaa!!! More photo wearing this awesome awfit 😘😘😍😍,https://twitter.com/aiuaiiuiuayu/status/1555423989740478464
2022/08/05 05:22:30,@ch4ichan,C H 4 I ❣️⛓ DEVIL VTUBER ⌜pre debut⌟,@yitchw aaaa I wish I could give u one 🥺🥺,https://twitter.com/ch4ichan/status/1555423983700512769
2022/08/05 05:22:30,@Dilipgo48617467,Diliiii,#NayaKashmir #KhushnumaKashmir  #3SaalBemisaal  #KashmirTabSeAbTak  #TirangaAtLalChowk #Article402 https://t.co/B1YP2JwKW5 a aaaa,https://twitter.com/Dilipgo48617467/status/1555423982937346048
2022/08/05 05:22:25,@aaaa12454974,aaaa,456DD31E :参戦ID参加者募集！Lv200 ガレヲンhttps://t.co/ssj3AECW8s,https://twitter.com/aaaa12454974/status/1555423962707808256
2022/08/05 05:22:22,@agustusbig,ta free tag,"aaaa masuk list sorteos 😍 kak cea trimakaci banyakk, dagetnya sudah aku terima 💐💗 #ceagift @forunsik https://t.co/cKbMEIKCQV https://t.co/TGi9u0yzQ3",https://twitter.com/agustusbig/status/1555423950481412097
2022/08/05 05:22:21,@istanscouts,BakBaktV⁷OOO AAAA💃,@jeonluvrbot Fr fr,https://twitter.com/istanscouts/status/1555423943112007681
2022/08/05 05:22:09,@AaAa_o9,月詠あっと,あざらし🦭って犬みたいだな…,https://twitter.com/AaAa_o9/status/1555423895163129856
2022/08/05 05:21:52,@lwtyxbetter,sofi,aaaa ciruja culiado atrevido de mierda demente hijo de mil MATATE,https://twitter.com/lwtyxbetter/status/1555423822118936576
2022/08/05 05:21:48,@littledaumi,MΛRIΛ,"@silent_doc @bbb__AAAA @324cat Exacte. Sincerament, crec que agafem a ‘qualsevol’ per er professor. Poca exigència els hi demanen.",https://twitter.com/littledaumi/status/1555423804679233536
2022/08/05 05:21:48,@redwhite_roses,🌻,Paling butuh coklat aja untuk saat inii aaaa,https://twitter.com/redwhite_roses/status/1555423804418969601
2022/08/05 05:21:46,@sik_ff14_,s!k,aaaa,https://twitter.com/sik_ff14_/status/1555423797590691840
2022/08/05 05:21:41,@xoxoAndiixoxo,مركـز مسـاج فـي جـدة | الـرياض منزلي فندقي,"""مركز مساج وتدليك في جدة و الرياض  🔵🔴 خدمة منزلية و فندقية 🔵🔴نعمل على مدار الساعة ( 24 ساعة  ) 🔵🔴الدفع عند الوصول  🔵🔴 منزلي و فندقي, 24 hour service 🔵🔴متاح الان""""A man is as old as he feels , and a woman as old as she looks""""massageeVT  A  aaaA""",https://twitter.com/xoxoAndiixoxo/status/1555423776678060033
2022/08/05 05:21:40,@mxxnmeowgi,앤지,AAAA JIMIN-AH!! https://t.co/ypvieC765Y,https://twitter.com/mxxnmeowgi/status/1555423773339586560
2022/08/05 05:21:38,@aaaa1126,ああああ⛩️📷🌙🐬🍞🐏🪐,中世みたいな格好で火炙りとかやってる連中よりどっちかって言うとこいつらのほうがヤバい https://t.co/QMJjjmuM3j,https://twitter.com/aaaa1126/status/1555423763973705730
2022/08/05 05:21:31,@cx525ml,aaaa,https://t.co/JSsf7nNPJe悪用してますスパブロしましょう,https://twitter.com/cx525ml/status/1555423734076698624
2022/08/05 05:21:29,@Taeilysv,velu⁷ | hobi³,@katerine_1108 AAAA LPMMM,https://twitter.com/Taeilysv/status/1555423727134932992
2022/08/05 05:21:24,@aaaa1013s,marumaru｡･*･,@SDM_minto こんにちは。お世話になっております！当方リッパー、漁師、調香師、オフェンス所有しているのですが、囚人、ポストマン、医師、画家との交換は可能でしょうか？御検討の程よろしくお願い致します！,https://twitter.com/aaaa1013s/status/1555423705865433088
2022/08/05 05:21:22,@honeyy_aaaa,Amiel,"Pre entreno para el gimnasio? No bro, yo solo reviso mi galería",https://twitter.com/honeyy_aaaa/status/1555423698651422720
2022/08/05 05:21:22,@toasted_milque,Oliver !!! ROTTMNT MOVIE SOON !!!!,AAAA WE MADE IT!!! THE TIME HAS COME!!!!!! https://t.co/1bFr0OBilI,https://twitter.com/toasted_milque/status/1555423695543406592
2022/08/05 05:21:17,@1997aaaa4,おっさん金喰いむし♀,昨日のあの大雨の中を自転車で帰って自業自得にもやや事故ったんだけど幸い軽傷で片足の膝が少し擦りむけたのと太ももに青アザだけで済んだのねそしたら朝いつも家の鍵に付けてる健脚守の草履の片割れがｽﾄﾝ···て取れたのェ!?朝からナーバス···ってなったけどこれ身代わりになってくれたやつでは？,https://twitter.com/1997aaaa4/status/1555423674924412928
2022/08/05 05:21:14,@KissMe_XOXO,Aliby,@knivecult Aaaa thank you!!! sadly Ima have to do this later when I’m in my desktop T-T,https://twitter.com/KissMe_XOXO/status/1555423663691907079
2022/08/05 05:21:14,@junghvvann,nisa🍃,"Setelah selca junghwan, terbitlah selca doyoung 🤍🤍🤍🤍🤍🤍 aaaa https://t.co/SI84ZYTIhc",https://twitter.com/junghvvann/status/1555423662710587394
2022/08/05 05:21:13,@LaplaceFox,what's upfox,@WorkerQtheCat @SkyeGoesBwaa @Chipbeams AAAA A BUNCH OF MAGICAL CUTIES,https://twitter.com/LaplaceFox/status/1555423658075721729
2022/08/05 05:21:10,@HiyMaetamong,Maetamong.hiy | Gongchan 왜 오수재인가 황인엽 Inyeop Inyoup,Aaaa gantengnya 😭😭😭 https://t.co/Prct8V4XBW,https://twitter.com/HiyMaetamong/status/1555423648176951296
2022/08/05 05:21:10,@sixxich,赤 ( •᷄ὤ•᷅)/🍰!!!,@HWA5EONG thank u for liking my work aaaa O(-( it's based on Lvca &amp; 1ke's a way out game ending hehe,https://twitter.com/sixxich/status/1555423647007121411
2022/08/05 05:20:59,@neineysa,Caca,PANAS BANGET AAAA,https://twitter.com/neineysa/status/1555423601389891584
2022/08/05 05:20:59,@LcscmL,lucas,"Minha playlist pessoal tem 563 músicas, isso que 3 meses atrás eu tirei quase 200, preciso fazer uma limpa dnv mas sou mt apegado aaaa",https://twitter.com/LcscmL/status/1555423600404041729
2022/08/05 05:20:53,@JnTk_11,iluJ 🐉,Que paja sentirme así AAAA,https://twitter.com/JnTk_11/status/1555423573875085313
2022/08/05 05:20:50,@momokuttie,nana be loti 🍒,"ayuda, soy como un perrito, quiero atención atención y dar cariño aaaa",https://twitter.com/momokuttie/status/1555423564639178754
2022/08/05 05:20:50,@aaaa44231,aaaa4423,フレンドから借りる場合は私のバトがいるからな…,https://twitter.com/aaaa44231/status/1555423562768363521
2022/08/05 05:20:50,@SUGArbooo__,jt ♡ sugahrt,aaaa thank you waiji. 🥲💎 https://t.co/uARNyVKJNq,https://twitter.com/SUGArbooo__/status/1555423561757511681
2022/08/05 05:20:43,@baeloudvin,aylu lvs vicky 🇺🇾 is seeing h,"@ana_cab03 aaaa bueno linda ojalá puedas hablar con ella y mirar la radio juntas, manda foto 🥰",https://twitter.com/baeloudvin/status/1555423534138007552
2022/08/05 05:20:35,@jmktears,ale misses jungkook,mi mente solo es uuuuu aaaa,https://twitter.com/jmktears/status/1555423502060195841
